Ship_Status,NDR_Remarks,Total_Attempts,AWB
RTO,Consignee Unavailable,Attempt 3,22679010751844
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010751811
Exception,NDR Call - FE remark correct,Attempt 1,22679010751800
In Transit,Incomplete address & contact details,Attempt 1,22679010751796
RTO,Consignee Unavailable,Attempt 1,22679010751774
Exception,Consignee Unavailable,Attempt 3,22679010751763
RTO,Consignee Unavailable,Attempt 3,22679010751752
RTO,NDR Call - FE remark correct,Attempt 2,22679010751726
RTO,NDR Call - FE remark correct,Attempt 2,22679010751715
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010751704
Delivered,Consignee Unavailable,Attempt 1,22679010751693
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010751682
RTO,Maximum attempts reached,Attempt 2,22679010751671
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010751656
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010751645
RTO,Consignee Unavailable,Attempt 3,22679010751612
Out For Delivery,Consignee Unavailable,Attempt 2,22679010751623
RTO,Consignee Unavailable,Attempt 3,22679010751601
RTO,NDR Call - FE remark correct,Attempt 3,22679010751590
RTO,NDR Call - FE remark correct,Attempt 1,22679010751586
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010751575
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010751564
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010751553
RTO,Recipient wants open delivery,Attempt 2,22679010751531
Delivered,Consignee Unavailable,Attempt 1,22679010751520
RTO,Consignee Unavailable,Attempt 3,22679010751516
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010751505
Exception,NDR Call - FE remark correct,Attempt 3,22679010751494
Exception,Consignee Unavailable,Attempt 1,22679010751483
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010751472
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010751450
Out For Delivery,NDR Call - FE remark correct,Attempt 1,22679010751461
RTO,Maximum attempts reached,Attempt 2,22679010751446
Delivered,Delivery Rescheduled by Customer,Attempt 1,22679010751435
RTO,Consignee Unavailable,Attempt 2,22679010751413
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010751380
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010751391
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010751365
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010751354
RTO,Consignee Unavailable,Attempt 2,22679010751306
Delivered,NDR Call - FE remark correct,Attempt 1,22679010751295
RTO,Delivery Rescheduled by Customer,Attempt 1,23645417232245
Exception,Recipient wants open delivery,Attempt 3,23645417232190
Exception,Consignee Unavailable,Attempt 2,22679010751262
Delivered,Consignee Unavailable,Attempt 1,22679010751251
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010751240
Delivered,Consignee Unavailable,Attempt 1,22679010751236
RTO,Consignee Unavailable,Attempt 3,22679010751225
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010751214
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010751203
RTO,Consignee Unavailable,Attempt 2,22679010751192
In Transit,Office/Institute closed,Attempt 1,22679010751166
Delivered,Consignee refused to accept/order cancelled,Attempt 1,22679010751170
RTO,Consignee Unavailable,Attempt 1,22679010751155
RTO,Consignee Unavailable,Attempt 1,22679010751122
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010751111
Out For Delivery,Consignee Unavailable,Attempt 1,22679010751085
Exception,Maximum attempts reached,Attempt 3,22679010751074
Exception,Consignee Unavailable,Attempt 2,22679010751052
RTO,Consignee Unavailable,Attempt 1,22679010738813
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010738824
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010738846
RTO,Consignee Unavailable,Attempt 2,22679010739620
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 2,22679010739642
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010739686
RTO,Maximum attempts reached,Attempt 2,22679010739690
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010739734
Delivered,Consignee refused to accept/order cancelled,Attempt 1,22679010739760
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010739782
RTO,Maximum attempts reached,Attempt 2,22679010739815
RTO,Consignee Unavailable,Attempt 2,22679010739793
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010739804
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010739826
Delivered,Consignee refused to accept/order cancelled,Attempt 1,22679010714442
Exception,Maximum attempts reached,Attempt 3,22679010739885
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010714431
RTO,Consignee Unavailable,Attempt 2,22679010714405
RTO,Maximum attempts reached,Attempt 2,22679010714420
Exception,NDR Call - FE remark correct,Attempt 2,22679010714416
RTO,Maximum attempts reached,Attempt 2,22679010714394
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010714383
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010714346
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010714313
Exception,Maximum attempts reached,Attempt 1,22679010714291
Delivered,Consignee refused to accept/order cancelled,Attempt 1,22679010714302
RTO,Maximum attempts reached,Attempt 2,22679010714232
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010714221
RTO,Consignee Unavailable,Attempt 2,22679010714243
RTO,Consignee Unavailable,Attempt 1,22679010714206
RTO,Consignee Unavailable,Attempt 1,22679010714184
RTO,Consignee Unavailable,Attempt 2,22679010714151
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010714103
RTO,Consignee Unavailable,Attempt 1,22679010714070
Delivered,Consignee Unavailable,Attempt 1,22679010714022
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010714055
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713985
RTO,Consignee Unavailable,Attempt 2,22679010713930
RTO,Consignee Unavailable,Attempt 1,22679010713893
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010713904
Out For Delivery,Delivery Rescheduled by Customer,Attempt 2,22679010713882
RTO,Consignee Unavailable,Attempt 3,22679010713871
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713860
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010713856
RTO,Maximum attempts reached,Attempt 2,22679010713834
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713845
RTO,Maximum attempts reached,Attempt 3,22679010713823
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713764
RTO,NDR Call - FE remark correct,Attempt 2,22679010713742
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713731
Out For Delivery,Consignee Unavailable,Attempt 1,22679010713683
Exception,NDR Call- No Customer response,Attempt 2,22679010713705
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010713624
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010713635
RTO,Consignee Unavailable,Attempt 1,22679010713613
RTO,Maximum attempts reached,Attempt 2,22679010713565
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010713576
Delivered,Consignee Unavailable,Attempt 1,22679010713510
RTO,Maximum attempts reached,Attempt 2,22679010713532
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713521
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713506
RTO,Consignee Unavailable,Attempt 2,22679010713495
RTO,Consignee Unavailable,Attempt 2,22679010713484
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010713462
RTO,Maximum attempts reached,Attempt 3,22679010713425
RTO,Consignee Unavailable,Attempt 1,22679010713370
RTO,Consignee Unavailable,Attempt 1,22679010713355
RTO,Maximum attempts reached,Attempt 1,22679010713344
RTO,Maximum attempts reached,Attempt 2,22679010713333
Out For Delivery,Consignee Unavailable,Attempt 2,22679010713322
RTO,Consignee Unavailable,Attempt 2,22679010713296
RTO,Maximum attempts reached,Attempt 3,22679010713241
RTO,Recipient wants open delivery,Attempt 1,22679010713252
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010713204
RTO,Maximum attempts reached,Attempt 3,22679010713160
RTO,NDR Call - FE remark correct,Attempt 2,22679010713182
RTO,NDR Call - FE remark correct,Attempt 2,22679010713123
RTO,Maximum attempts reached,Attempt 3,22679010713112
Delivered,Consignee Unavailable,Attempt 1,22679010713064
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010713075
Exception,Maximum attempts reached,Attempt 2,22679010713020
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010713031
RTO,Consignee Unavailable,Attempt 1,22679010712994
RTO,Maximum attempts reached,Attempt 2,22679010712983
RTO,NDR Call - FE remark correct,Attempt 3,22679010713005
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010712972
RTO,Consignee Unavailable,Attempt 2,22679010712961
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010712946
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010712935
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010712950
RTO,NDR Call - FE remark correct,Attempt 1,22679010712913
RTO,Maximum attempts reached,Attempt 3,22679010712876
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010712832
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010712821
Exception,Maximum attempts reached,Attempt 3,22679010712806
Out For Delivery,Consignee Unavailable,Attempt 1,22679010712795
RTO,Consignee Unavailable,Attempt 1,22679010712762
Delivered,Delivery Rescheduled by Customer,Attempt 1,22679010712751
RTO,Maximum attempts reached,Attempt 3,22679010712725
RTO,Maximum attempts reached,Attempt 2,22679010712692
RTO,Maximum attempts reached,Attempt 2,22679010712666
Exception,Maximum attempts reached,Attempt 3,22679010712681
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010712633
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760152
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010760185
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760196
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760200
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760211
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760266
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760281
Exception,Maximum attempts reached,Attempt 3,22679010760362
RTO,Maximum attempts reached,Attempt 2,22679010760406
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010760432
RTO,Maximum attempts reached,Attempt 2,22679010760443
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760454
RTO,Consignee Unavailable,Attempt 2,22679010760465
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760476
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760480
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010760513
RTO,Recipient wants open delivery,Attempt 1,22679010760535
Exception,Maximum attempts reached,Attempt 3,22679010760546
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010760594
RTO,NDR Call - FE remark correct,Attempt 2,22679010760605
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760620
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760631
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760642
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010760686
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010760690
RTO,Maximum attempts reached,Attempt 2,22679010760712
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010760734
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760793
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760815
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010760804
RTO,NDR Call - FE remark correct,Attempt 2,22679010760841
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760852
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760863
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010760922
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760933
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010760955
Delivered,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010760970
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010760981
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761036
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010761040
RTO,Consignee Unavailable,Attempt 1,22679010761062
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010761073
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010761132
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761154
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761165
Exception,Consignee Unavailable,Attempt 2,22679010761176
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761191
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761224
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761250
RTO,Consignee Unavailable,Attempt 1,22679010761261
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761272
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761294
Out For Delivery,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761331
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761342
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761375
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010761401
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761423
RTO,Consignee Unavailable,Attempt 2,22679010761445
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761471
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761493
RTO,Maximum attempts reached,Attempt 1,22679010761504
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761541
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761552
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761563
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010761596
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761611
RTO,Maximum attempts reached,Attempt 2,22679010761633
RTO,Consignee Unavailable,Attempt 1,22679010761644
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761670
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761703
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761714
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761725
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761736
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761762
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761751
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761773
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761806
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761810
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761843
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761854
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010761865
RTO,NDR Call - FE remark correct,Attempt 2,22679010761891
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761902
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761924
RTO,Maximum attempts reached,Attempt 1,22679010761935
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010761950
Exception,Incomplete address & contact details,Attempt 1,22679010761961
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010761972
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010761983
Out For Delivery,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762020
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762042
RTO,Maximum attempts reached,Attempt 1,22679010762064
RTO,Maximum attempts reached,Attempt 2,22679010762075
RTO,Consignee Unavailable,Attempt 2,22679010762086
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762112
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762145
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010762182
RTO,Maximum attempts reached,Attempt 2,22679010762215
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762226
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010762230
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762241
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762252
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762296
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762311
RTO,Consignee Unavailable,Attempt 1,22679010762355
RTO,Consignee Unavailable,Attempt 2,22679010762366
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762392
RTO,Rejected,Attempt 2,SHBC7000146146
RTO,Consignee Unavailable,Attempt 1,22679010762436
RTO,NDR Call - FE remark correct,Attempt 1,22679010762462
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010762473
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762495
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762543
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762580
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762591
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010762646
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762650
RTO,NDR Call - FE remark correct,Attempt 2,22679010762661
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762683
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762705
RTO,Maximum attempts reached,Attempt 2,22679010762731
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010762742
RTO,Maximum attempts reached,Attempt 1,22679010762753
Exception,Consignee Unavailable,Attempt 1,22679010762775
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762790
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762823
RTO,Consignee Unavailable,Attempt 2,22679010762893
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010762904
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010762915
RTO,Maximum attempts reached,Attempt 2,22679010762930
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010762985
RTO,Consignee Unavailable,Attempt 2,22679010763022
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010763033
RTO,Consignee Unavailable,Attempt 2,22679010763066
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763070
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763092
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763114
RTO,Consignee Unavailable,Attempt 1,22679010763125
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763136
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010763151
RTO,Maximum attempts reached,Attempt 2,22679010763206
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763221
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763232
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763254
RTO,Consignee Unavailable,Attempt 2,22679010763243
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763280
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010763291
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763313
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763324
RTO,Consignee Unavailable,Attempt 1,22679010763346
RTO,NDR Call - FE remark correct,Attempt 2,22679010763335
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763350
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010763361
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010763372
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763405
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763416
Exception,Consignee Unavailable,Attempt 3,22679010763453
RTO,NDR Call - FE remark correct,Attempt 1,22679010763464
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763475
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763486
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763490
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763501
RTO,Maximum attempts reached,Attempt 2,22679010763556
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763582
RTO,Maximum attempts reached,Attempt 2,22679010763626
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763641
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763652
RTO,NDR Call - FE remark correct,Attempt 1,22679010763663
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010763674
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010763700
RTO,NDR Call - FE remark correct,Attempt 1,22679010763711
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010763733
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763766
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763781
